seed,method,tau_low,tau_high,theta,scorer,conformal_target_recall,coreset_budget,safety_recall,storage_savings_pct,duplicate_pairs,samples_removed,n_test,level0_count,level1_count,level2_count,level3_count
42,path_b,0.05,0.5,0.85,bnn_combined,0.99,off,0.9901812688821753,22.769953051643192,126457,1067,4686,3611,2422,98,133
42,path_b,0.05,0.5,0.85,isolation_forest,0.9,off,0.9622356495468278,18.053777208706787,126457,846,4686,3319,2422,98,133
42,path_b,0.05,0.5,0.85,isolation_forest,0.95,off,0.9803625377643505,11.096884336320956,126457,520,4686,3891,2422,98,133
42,path_b,0.05,0.5,0.85,isolation_forest,0.99,off,0.9924471299093656,4.780196329492104,126457,224,4686,4395,2422,98,133
42,path_b,0.05,0.5,0.85,autoencoder,0.9,off,0.9856495468277946,7.618437900128041,126457,357,4686,4012,2422,98,133
42,path_b,0.05,0.5,0.85,autoencoder,0.95,off,0.9939577039274925,4.9722577891591975,126457,233,4686,4262,2422,98,133
42,path_b,0.05,0.5,0.85,autoencoder,0.99,off,1.0,1.5364916773367476,126457,72,4686,4571,2422,98,133
42,path_b,0.05,0.5,0.85,ecod,0.9,off,0.9826283987915407,11.7797695262484,126457,552,4686,3741,2422,98,133
42,path_b,0.05,0.5,0.85,ecod,0.95,off,0.9916918429003021,6.103286384976526,126457,286,4686,4205,2422,98,133
42,path_b,0.05,0.5,0.85,ecod,0.99,off,0.9984894259818731,1.4084507042253522,126457,66,4686,4581,2422,98,133
42,path_b,0.1,0.15,0.85,off,off,off,0.46299093655589124,69.14212548015365,167847,3240,4686,0,3242,854,133
42,path_b,0.1,0.15,0.85,bnn_mean,0.9,off,0.9078549848942599,47.80196329492104,167847,2240,4686,2014,3242,854,133
42,path_b,0.1,0.15,0.85,bnn_mean,0.95,off,0.9395770392749244,40.48228766538626,167847,1897,4686,2642,3242,854,133
42,path_b,0.1,0.15,0.85,bnn_mean,0.99,off,0.9894259818731118,24.327784891165173,167847,1140,4686,3544,3242,854,133
42,path_b,0.1,0.15,0.85,bnn_variance,0.9,off,0.879154078549849,22.385830132309007,167847,1049,4686,3636,3242,854,133
42,path_b,0.1,0.15,0.85,bnn_variance,0.95,off,0.9305135951661632,17.26419120785318,167847,809,4686,3876,3242,854,133
42,path_b,0.1,0.15,0.85,bnn_variance,0.99,off,0.9803625377643505,11.37430644472898,167847,533,4686,4152,3242,854,133
42,path_b,0.1,0.15,0.85,bnn_combined,0.9,off,0.9003021148036254,48.07938540332907,167847,2253,4686,2179,3242,854,133
42,path_b,0.1,0.15,0.85,bnn_combined,0.95,off,0.9380664652567976,40.80239009816475,167847,1912,4686,2698,3242,854,133
42,path_b,0.1,0.15,0.85,bnn_combined,0.99,off,0.9901812688821753,22.89799402475459,167847,1073,4686,3611,3242,854,133
42,path_b,0.1,0.15,0.85,isolation_forest,0.9,off,0.9146525679758308,24.434485702091337,167847,1145,4686,3319,3242,854,133
42,path_b,0.1,0.15,0.85,isolation_forest,0.95,off,0.9531722054380665,14.874093043107129,167847,697,4686,3891,3242,854,133
42,path_b,0.1,0.15,0.85,isolation_forest,0.99,off,0.9871601208459214,5.740503627827572,167847,269,4686,4395,3242,854,133
42,path_b,0.1,0.15,0.85,autoencoder,0.9,off,0.9667673716012085,10.478019632949211,167847,491,4686,4012,3242,854,133
42,path_b,0.1,0.15,0.85,autoencoder,0.95,off,0.9811178247734139,6.850192061459667,167847,321,4686,4262,3242,854,133
42,path_b,0.1,0.15,0.85,autoencoder,0.99,off,0.9962235649546828,1.9419547588561674,167847,91,4686,4571,3242,854,133
42,path_b,0.1,0.15,0.85,ecod,0.9,off,0.9645015105740181,15.172855313700385,167847,711,4686,3741,3242,854,133
42,path_b,0.1,0.15,0.85,ecod,0.95,off,0.9833836858006042,7.639778062313274,167847,358,4686,4205,3242,854,133
42,path_b,0.1,0.15,0.85,ecod,0.99,off,0.9969788519637462,1.6645326504481435,167847,78,4686,4581,3242,854,133
42,path_b,0.1,0.5,0.85,off,off,off,0.46299093655589124,69.14212548015365,167847,3240,4686,0,3242,98,133
42,path_b,0.1,0.5,0.85,bnn_mean,0.9,off,0.9078549848942599,47.80196329492104,167847,2240,4686,2014,3242,98,133
42,path_b,0.1,0.5,0.85,bnn_mean,0.95,off,0.9395770392749244,40.48228766538626,167847,1897,4686,2642,3242,98,133
